address,duration_minutes,feat_1,feat_2,geometry,poly_side,atm,bank,bus_station,bus_stop,cafe,device_charging_station,office,public_service,restaurant,shelter,station,traffic_signals,waste_basket
8811aa602dfffff,5.09266668,0.0,25.0,"POLYGON ((37.75103240708841 55.80603592669851, 37.75544125247293 55.8021039143373, 37.76336920776333 55.80256228897515, 37.76688985365298 55.80695299245013, 37.76248116749831 55.81088545894976, 37.75455167602325 55.81042676780645, 37.75103240708841 55.80603592669851))",poly3,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8811aa45d9fffff,6.037036984126985,0.0,63.0,"POLYGON ((37.40263832553934 55.71842073952227, 37.4070582505744 55.7145043463745, 37.41494260774041 55.71498165126663, 37.41840855731262 55.71937567112814, 37.41398877088397 55.72329251699178, 37.40610289608054 55.72281489024809, 37.40263832553934 55.71842073952227))",poly0,5.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
881181a235fffff,4.722727181818182,0.0,11.0,"POLYGON ((37.74271427608124 55.43691297888912, 37.74708442349814 55.43297085807087, 37.75494127917024 55.43341815350549, 37.75842949594293 55.43780788707896, 37.75405950446289 55.4417504618127, 37.74620114007782 55.44130284902824, 37.74271427608124 55.43691297888912))",poly1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa722bfffff,5.868981527777779,0.0,36.0,"POLYGON ((37.42241082476207 55.85767681439805, 37.42684459246957 55.85376341334162, 37.43475723996071 55.85424388463139, 37.43823764819592 55.8586380782336, 37.43380402117613 55.86255193216556, 37.42588984503512 55.86207113958972, 37.42241082476207 55.85767681439805))",poly2,2.0,2.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa714dfffff,2.9377192105263155,0.0,19.0,"POLYGON ((37.45469517717559 55.7843306893976, 37.45911914576106 55.78041347802683, 37.46702016763503 55.78088963017761, 37.47049874504957 55.78528331462406, 37.4660749185003 55.78920097895828, 37.45817237230268 55.78872450585267, 37.45469517717559 55.7843306893976))",poly2,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8811aa0083fffff,1.2052449694023222,0.0,0.0,"POLYGON ((37.23358243193975 56.03831699594184, 37.23804689233019 56.03441874633187, 37.24597984253358 56.03491664682927, 37.24944986766832 56.03931312060655, 37.24498553827069 56.04321182242366, 37.23705105254645 56.04271359822591, 37.23358243193975 56.03831699594184))",poly2,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa78abfffff,5.910144869565216,0.0,23.0,"POLYGON ((37.68783116977161 55.72699636349119, 37.69223529469841 55.72306535292505, 37.70014322150072 55.72352518993506, 37.7036485513097 55.72791635508965, 37.69924458137546 55.73184781950639, 37.69133512644053 55.73138766488842, 37.68783116977161 55.72699636349119))",poly1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa4ebdfffff,4.728070105263158,0.0,19.0,"POLYGON ((37.46035184098108 55.62982901182752, 37.46475892152485 55.62590706837468, 37.47263080409267 55.62637799306047, 37.47609711904909 55.63077118234069, 37.47169017980048 55.634693578697, 37.46381678410484 55.63422233283979, 37.46035184098108 55.62982901182752))",poly0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8811aa62cbfffff,5.897435923076923,0.0,13.0,"POLYGON ((37.7050212828919 55.89964291646816, 37.70944291686414 55.89571601841416, 37.71738543318181 55.89618020043401, 37.72090785693955 55.90057159748099, 37.71648638026306 55.90449894955532, 37.7085423223313 55.90403445053271, 37.7050212828919 55.89964291646816))",poly3,5.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8811aa6301fffff,4.536111166666667,0.0,6.0,"POLYGON ((37.66827959876226 55.79703010261063, 37.67269237532494 55.79310213125373, 37.68061226617483 55.79356538690706, 37.68412091292883 55.79795693164743, 37.67970829076256 55.80188535681973, 37.67178686724598 55.80142178340667, 37.66827959876226 55.79703010261063))",poly3,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8811aa4c8dfffff,7.670175421052634,0.0,19.0,"POLYGON ((37.51039580307209 55.60769761621986, 37.51479760701964 55.60377243046561, 37.52266912203731 55.6042395496606, 37.52614034614628 55.60863217505482, 37.52173868618898 55.61255781390178, 37.51386565793682 55.6120903742321, 37.51039580307209 55.60769761621986))",poly0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa4737fffff,6.498148111111111,0.0,9.0,"POLYGON ((37.3119700121841 55.6794232712204, 37.31639102161228 55.67551049803426, 37.32426090356251 55.67599219160333, 37.32771128749703 55.68038698158761, 37.32329041124591 55.6843002070967, 37.31541901768853 55.68381819026848, 37.3119700121841 55.6794232712204))",poly0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa7253fffff,4.680208375000001,0.0,16.0,"POLYGON ((37.40622858811201 55.89433383922088, 37.41066726956704 55.89042234966865, 37.41858574061943 55.890904982424, 37.42206706083665 55.89529942615304, 37.41762851938908 55.89921136853719, 37.40970851751812 55.89872841433028, 37.40622858811201 55.89433383922088))",poly2,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8811aa70ebfffff,5.265104125,0.0,32.0,"POLYGON ((37.55260118229761 55.86970652738829, 37.55702860105772 55.86578668766894, 37.56495362096506 55.86625943649929, 37.56845275600061 55.87065234435364, 37.56402548551065 55.87457263747889, 37.55609893151512 55.87409956931403, 37.55260118229761 55.86970652738829))",poly2,1.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8811aa09b7fffff,8.135714285714284,0.0,7.0,"POLYGON ((37.37783959793794 55.82986350823214, 37.38227296798247 55.82595162695793, 37.39017680440119 55.82643399021467, 37.39364879559784 55.8308285567141, 37.38921556349035 55.8347408906653, 37.3813102020517 55.83425820541001, 37.37783959793794 55.82986350823214))",poly2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881181b227fffff,4.935714285714285,0.0,7.0,"POLYGON ((37.48194034352026 55.43851571081586, 37.4863258519182 55.43458722313113, 37.49416309108248 55.43505076036585, 37.49761632159969 55.43944310646776, 37.4932309544126 55.44337204705427, 37.48539221530451 55.44290818860743, 37.48194034352026 55.43851571081586))",poly0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
881181a765fffff,6.125197676045937,0.0,0.0,"POLYGON ((37.84408967725014 55.48876161962535, 37.84845932493324 55.48481569233778, 37.8563336946544 55.48525830531346, 37.85983993241038 55.48964716128451, 37.85547044681081 55.49359354289116, 37.8475945611745 55.49315061417855, 37.84408967725014 55.48876161962535))",poly1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa0919fffff,5.109259333333333,0.0,9.0,"POLYGON ((37.25936071294897 55.82256508081296, 37.26380019641424 55.81865918145076, 37.27169342880834 55.81914866499532, 37.27514869785835 55.82354437162529, 37.27070934548615 55.82745072316899, 37.26281459277469 55.82696091587098, 37.25936071294897 55.82256508081296))",poly2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa0a15fffff,0.6524551112944956,0.0,0.0,"POLYGON ((37.17933353965802 55.89281213362929, 37.18378528847975 55.88891246267628, 37.1916858145934 55.88940912828348, 37.19513611439382 55.89380578959955, 37.19068449251678 55.89770591243703, 37.18278244369826 55.89720892204356, 37.17933353965802 55.89281213362929))",poly2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa618bfffff,5.3375,0.0,24.0,"POLYGON ((37.83387780206408 55.81499202828542, 37.83828268627715 55.811055974245, 37.84621868594807 55.8115094532199, 37.84975134089645 55.81589930145117, 37.84534662076062 55.81983580994812, 37.83740908139735 55.81938201572789, 37.83387780206408 55.81499202828542))",poly3,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa7211fffff,5.195424823529411,1.0,51.0,"POLYGON ((37.43094209211397 55.88747450438323, 37.43537858215338 55.88356152513926, 37.44329764152432 55.88404240512186, 37.44678174182893 55.88843658541879, 37.44234539317367 55.8923500175911, 37.43442480263082 55.89186881650809, 37.43094209211397 55.88747450438323))",poly2,3.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8811aa7987fffff,0.6630031901826862,0.0,0.0,"POLYGON ((37.69323034241201 55.67705886033175, 37.69762882047391 55.67312613387524, 37.70552759077665 55.67358406517361, 37.70902940744015 55.67797504052512, 37.70463108430427 55.68190822082556, 37.69673078938042 55.6814499719011, 37.69323034241201 55.67705886033175))",poly1,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881181b457fffff,4.084058043478261,0.0,23.0,"POLYGON ((37.6917217371112 55.58063698145722, 37.69611005382256 55.57670157903232, 37.70399030096902 55.57715657187146, 37.70748374867804 55.58154728494227, 37.70309558608452 55.58548314115542, 37.6952138214671 55.58502783048008, 37.6917217371112 55.58063698145722))",poly1,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811aa6a69fffff,4.1242858,0.0,35.0,"POLYGON ((37.72655119530167 55.69992955434992, 37.7309501466323 55.69599575177244, 37.73885584160335 55.69645232469043, 37.74236411249852 55.70084301724024, 37.73796531817522 55.70477727380177, 37.73005809575032 55.70432038379998, 37.72655119530167 55.69992955434992))",poly1,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8811aa4295fffff,0.22109266452127396,0.0,0.0,"POLYGON ((37.20727923861828 55.66041385230145, 37.21170426106315 55.65650601480533, 37.21956238628287 55.6569935857754, 37.22299699541433 55.66138931903819, 37.21857210007074 55.66529760840984, 37.21071246830109 55.66480971261299, 37.20727923861828 55.66041385230145))",poly0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
